Title;Author;Price;Url
Дизайн персонажей-животных. Концепт-арт для комиксов...;3d Total Publish;2274 р.;https://www.piter.com/collection/kompyutery-i-internet/product/dizayn-personazhey-zhivotnyh-kontsept-art-dlya-komiksov-videoigr-i-animatsii
Масштабируемые данные. Лучшие шаблоны высоконагружен...;Стренгхольт;2274 р.;https://www.piter.com/collection/kompyutery-i-internet/product/masshtabiruemye-dannye-luchshie-shablony-vysokonagruzhennyh-arhitektur
Computer Science: основы программирования на Java, О...;Седжвик;2268 р.;https://www.piter.com/collection/kompyutery-i-internet/product/computer-science-osnovy-programmirovaniya-na-java-oop-algoritmy-i-struktury-dannyh-2
Google BigQuery. Всё о хранилищах данных, аналитике ...;Лакшманан;2251 р.;https://www.piter.com/collection/kompyutery-i-internet/product/google-bigquery-vsyo-o-hranilischah-dannyh-analitike-i-mashinnom-obuchenii
Дизайн персонажей. Концепт-арт для комиксов, видеоиг...;;2251 р.;https://www.piter.com/collection/kompyutery-i-internet/product/dizayn-personazhey-kontsept-art-dlya-komiksov-videoigr-i-animatsii
Вскрытие покажет! Практический анализ вредоносного ПО;Сикорски;2220 р.;https://www.piter.com/collection/kompyutery-i-internet/product/vskrytie-pokazhet-prakticheskiy-analiz-vredonosnogo-po
Изучаем программирование на JavaScript;Фримен;2194 р.;https://www.piter.com/collection/kompyutery-i-internet/product/izuchaem-programmirovanie-na-javascript-2
Kali Linux. Тестирование на проникновение и безопасн...;Парасрам;2177 р.;https://www.piter.com/collection/kompyutery-i-internet/product/kali-linux-testirovanie-na-proniknovenie-i-bezopasnost
Система модулей Java;Парлог;2164 р.;https://www.piter.com/collection/kompyutery-i-internet/product/sistema-moduley-java
Объектно-ориентированное программирование в С++. Кла...;Лафоре;2148 р.;https://www.piter.com/collection/kompyutery-i-internet/product/obektno-orientirovannoe-programmirovanie-v-s-klassika-computer-science-2
Безопасность веб-приложений;Хоффман;2132 р.;https://www.piter.com/collection/kompyutery-i-internet/product/bezopasnost-veb-prilozheniy
Black Hat Go: Программирование для хакеров и пентест...;Стил;2124 р.;https://www.piter.com/collection/kompyutery-i-internet/product/black-hat-go-programmirovanie-dlya-hakerov-i-pentesterov
TypeScript быстро;Файн;2111 р.;https://www.piter.com/collection/kompyutery-i-internet/product/typescript-bystro
Стильный Java. Код, который работает всегда и везде;Фаэлла;2056 р.;https://www.piter.com/collection/kompyutery-i-internet/product/stilnyy-java-kod-kotoryy-rabotaet-vsegda-i-vezde
Open Source. Разработка программ с открытым исходным...;Эгбал;2034 р.;https://www.piter.com/collection/kompyutery-i-internet/product/open-source-razrabotka-programm-s-otkrytym-ishodnym-kodom
Spring Boot по-быстрому;Хеклер;2028 р.;https://www.piter.com/collection/kompyutery-i-internet/product/spring-boot-po-bystromu
Управление проектами с нуля;Хорин;2028 р.;https://www.piter.com/collection/kompyutery-i-internet/product/upravlenie-proektami-s-nulya
CLR via C#. Программирование на платформе Microsoft ...;Рихтер;1991 р.;https://www.piter.com/collection/kompyutery-i-internet/product/clr-via-c-programmirovanie-na-platforme-microsoft-net-framework-45-na-yazyke-c-4-e-izd
Компьютерные сети. 5-е изд.;Таненбаум Э.;1991 р.;https://www.piter.com/collection/kompyutery-i-internet/product/kompyuternye-seti-5-e-izd-2
Создаем динамические веб-сайты на PHP. 4-е межд. изд.;Татро;1967 р.;https://www.piter.com/collection/kompyutery-i-internet/product/sozdaem-dinamicheskie-veb-sayty-na-php-4-e-mezhd-izd
Отзывчивый дизайн на HTML5 и CSS3 для любых устройст...;Фрэйн ;599 р.;https://www.piter.com/collection/kompyutery-i-internet/product/otzyvchivyy-dizayn-na-html5-i-css3-dlya-lyubyh-ustroystv-3-e-izd
